x_rel_mm,y_rel_mm,value
-16,112,1.142404
-14,112,1.164782
-12,112,1.161306
-10,112,1.143793
-8,112,1.151486
-6,112,1.131447
-4,112,1.14992
-2,112,1.156166
0,112,1.149108
2,112,1.134699
4,112,1.16063
6,112,1.140119
8,112,1.135924
10,112,1.138323
12,112,1.148398
14,112,1.144445
16,112,1.149497
18,112,1.147539
20,112,1.145799
22,112,1.236482
24,112,1.168323
26,112,1.159717
28,112,1.17588
30,112,1.198511
32,112,1.14142
34,112,1.15325
36,112,1.161554
38,112,1.145151
40,112,1.160505
42,112,1.164457
44,112,1.145266
46,112,1.148889
48,112,1.147487
50,112,1.134431
52,112,1.15755
54,112,1.171682
56,112,1.173591
58,112,1.150569
60,112,1.142158
62,112,1.150373
64,112,1.158357
66,112,1.147648
68,112,1.147694
70,112,1.168362
72,112,1.153143
74,112,1.162244
76,112,1.143602
78,112,1.143582
80,112,1.184165
82,112,1.160592
84,112,1.132461
86,112,1.15024
88,110,1.167069
86,110,1.162801
84,110,1.192837
82,110,1.174564
80,110,1.19086
78,110,1.1759
76,110,1.156882
74,110,1.147665
72,110,1.188288
70,110,1.182156
68,110,1.188053
66,110,1.174885
64,110,1.165036
62,110,1.163516
60,110,1.168472
58,110,1.175891
56,110,1.161743
54,110,1.157927
52,110,1.157893
50,110,1.164809
48,110,1.149223
46,110,1.15067
44,110,1.164665
42,110,1.142039
40,110,1.135608
38,110,1.146137
36,110,1.186138
34,110,1.176307
32,110,1.140615
30,110,1.171585
28,110,1.254679
26,110,1.210297
24,110,1.178864
22,110,1.180291
20,110,1.193372
18,110,1.173848
16,110,1.162262
14,110,1.162015
12,110,1.156381
10,110,1.156289
8,110,1.145883
6,110,1.155753
4,110,1.163466
2,110,1.127204
0,110,1.135507
-2,110,1.159148
-4,110,1.142016
-6,110,1.129949
-8,110,1.14104
-10,110,1.154716
-12,110,1.149212
-14,110,1.139681
-16,110,1.139724
-18,110,1.153175
-20,110,1.150244
-22,110,1.133867
-24,110,1.148936
-26,110,1.151312
-28,110,1.170524
-30,110,1.162699
-32,110,1.156927
-34,110,1.196251
-36,110,1.139643
-38,110,1.173135
-40,110,1.141559
-42,110,1.149844
-44,110,1.165615
-46,110,1.152488
-48,110,1.130516
-50,110,1.139265
-52,110,1.167702
-54,110,1.116468
-56,110,1.178036
-58,110,1.172863
-60,110,1.13366
-62,110,1.141038
-64,110,1.161322
-66,110,1.163926
-68,110,1.142288
-70,110,1.172746
-72,110,1.151481
-74,110,1.164217
-76,110,1.160838
-78,110,1.147384
-80,110,1.147167
-82,110,1.159649
-84,110,1.151861
-86,110,1.140866
-88,110,1.135565
-92,108,1.136205
-90,108,1.13269
-88,108,1.137976
-86,108,1.141777
-84,108,1.143656
-82,108,1.164692
-80,108,1.176515
-78,108,1.158055
-76,108,1.146172
-74,108,1.149579
-72,108,1.130581
-70,108,1.128914
-68,108,1.167088
-66,108,1.241811
-64,108,1.161182
-62,108,1.154749
-60,108,1.158404
-58,108,1.137479
-56,108,1.153008
-54,108,1.168609
-52,108,1.164174
-50,108,1.155391
-48,108,1.14746
-46,108,1.14557
-44,108,1.156769
-42,108,1.168415
-40,108,1.16682
-38,108,1.16203
-36,108,1.149406
-34,108,1.164982
-32,108,1.166176
-30,108,1.150356
-28,108,1.156348
-26,108,1.173992
-24,108,1.169227
-22,108,1.15663
-20,108,1.165069
-18,108,1.173228
-16,108,1.170283
-14,108,1.160389
-12,108,1.17949
-10,108,1.162265
-8,108,1.242004
-6,108,1.185673
-4,108,1.190542
-2,108,1.152452
0,108,1.145618
2,108,1.141293
4,108,1.140669
6,108,1.14363
8,108,1.158776
10,108,1.145013
12,108,1.153899
14,108,1.147358
16,108,1.168002
18,108,1.16869
20,108,1.160167
22,108,1.150602
24,108,1.174275
26,108,1.181859
28,108,1.162698
30,108,1.166939
32,108,1.180363
34,108,1.162127
36,108,1.183151
38,108,1.171674
40,108,1.167837
42,108,1.181443
44,108,1.199498
46,108,1.192084
48,108,1.157772
50,108,1.2031
52,108,1.288293
54,108,1.135454
56,108,1.142448
58,108,1.135497
60,108,1.119219
62,108,1.143836
64,108,1.143622
66,108,1.148738
68,108,1.153962
70,108,1.141637
72,108,1.14293
74,108,1.147582
76,108,1.149168
78,108,1.180751
80,108,1.148895
82,108,1.154919
84,108,1.152585
86,108,1.151437
88,108,1.205397
90,108,1.149561
92,108,1.228145
94,106,1.186072
92,106,1.156914
90,106,1.177547
88,106,1.161451
86,106,1.146406
84,106,1.142271
82,106,1.158621
80,106,1.140634
78,106,1.152407
76,106,1.150501
74,106,1.137838
72,106,1.143977
70,106,1.145687
68,106,1.147058
66,106,1.155806
64,106,1.148995
62,106,1.141804
60,106,1.149718
58,106,1.14663
56,106,1.181585
54,106,1.166056
52,106,1.168195
50,106,1.247924
48,106,1.166622
46,106,1.170532
44,106,1.219797
42,106,1.178427
40,106,1.974508
38,106,1.972477
36,106,1.966948
34,106,1.975661
32,106,1.962635
30,106,1.95889
28,106,1.963153
26,106,1.962506
24,106,1.958728
22,106,1.961612
20,106,1.958302
18,106,1.968466
16,106,1.965695
14,106,1.96064
12,106,1.958708
10,106,1.950935
8,106,1.965973
6,106,1.946221
4,106,1.953823
2,106,1.952358
0,106,1.954611
-2,106,1.950266
-4,106,1.957904
-6,106,1.957217
-8,106,1.952844
-10,106,1.959919
-12,106,1.964763
-14,106,1.960293
-16,106,1.95509
-18,106,1.954641
-20,106,1.952059
-22,106,1.958483
-24,106,1.956674
-26,106,1.964121
-28,106,1.960265
-30,106,1.953862
-32,106,1.957558
-34,106,1.960988
-36,106,1.961562
-38,106,1.95817
